Headline,Outlet,Is_Clickbait
"Nebyly to zlomené osobnosti, říká Surovcová o knize rozhovorů na hraně života",CT24,0
"Ukažte, že zvyšujete výdaje na obranu, vyzval šéf NATO členské země",CT24,0
"Ukrajina, či Blízký východ? USA řeší zbraňové dilema, píše WP",CT24,0
Slovensko pomůže Moldavsku s čištěním vody po ruském útoku na Ukrajině,CT24,0
Předseda Rady ČT svolal mimořádné jednání. Zvažované úpravy poplatku označil za likvidační,CT24,0
Soud nepravomocně potrestal dozorce z Rýnovic podmínkou,CT24,0
"Polsko sníží daň z přidané hodnoty na pohonné hmoty, oznámil Tusk",CT24,0
Europoslanci podpořili rychlejší vracení migrantů bez práva na azyl,CT24,0
"Část dodavatelů začala zdražovat plyn, rostou i ceny paliv",CT24,0
Čeho to je obraz? Rusko se vrací na prestižní výtvarné bienále,CT24,0
"V Súdánu ve středu při dronových útocích zemřelo téměř třicet lidí, píše AFP",CT24,0
Primátor Karviné nesouhlasí s obviněními v korupční fotbalové kauze,CT24,0
"Na východě Česka nasněží, o víkendu se oteplí",CT24,0
Jihočeský kraj plánuje zpřístupnit veřejnosti unikátní kaolinový důl Orty,CT24,0
Osobní číslo pro každého zaměstnance. Jednotné měsíční hlášení znamená řadu změn,CT24,0
"„Zmodrala a přestala dýchat.“ Fialová tramvaj napoví, jak pomoct epileptikovi",CT24,0
Trosky z rakety zabily v Abú Dhabí dva lidi,CT24,0
"Írán žadoní o dohodu s USA, trvá na svém Trump",CT24,0
"Britská armáda bude moci zabavovat lodě ruské stínové flotily, oznámila vláda",CT24,0
"Írán hrozí zničením infrastruktury zemi, která podpoří okupaci jeho ostrova",CT24,0
Agrárníci či myslivci volají po regulaci některých chráněných živočichů,CT24,0
Cenu literární kritiky získali Borkovec za prózu a Kauer za poezii,CT24,0
Přeživší holocaustu po letech náhodně narazila na svou dozorkyni z koncentračního tábora,CT24,0
"Babišova vláda pozastavila největší modernizaci armády, řekla Černochová",CT24,0
Porota v USA shledala Google a Metu odpovědnými v případu závislosti na sítích,CT24,0
"Ukrajina přerušila Rusku nejmíň čtyřicet procent kapacit pro přepravu ropy, píše Reuters",CT24,0
"Na Sumatře se konal tradiční „býčí závod""",CT24,0
Evropská komise schválila český plán využití více než dvou miliard eur ze SAFE,CT24,0
Německo chce splnit klimatické cíle i pomocí dvou tisíc větrných elektráren,CT24,0
Škoda Auto ukončí prodej v Číně,CT24,0
Měli by auta přímo pod okny. Obyvatelé v Jihlavě nesouhlasí s navýšením parkovacích míst,iROZHLAS,0
Soud v Jablonci potrestal dalšího bývalého dozorce. Podle obžaloby svévolně trestal vězně v Rýnovicích,iROZHLAS,0
"ONLINE: Nejsem si jistý, jestli jsme ochotni uzavřít s Íránem dohodu, řekl Trump. Teherán ji prý žádá",iROZHLAS,0
"Plagův náměstek sdílel falešnou fotku Mináře, Halíka a údajného žháře z Pardubic. Zabývá se tím policie",iROZHLAS,0
Letos už deváté ohnisko ptačí chřipky hlásí veterináři na Nymbursku. V chovu je přes 8000 kachen,iROZHLAS,0
"‚Nezneužívejte krize na Blízkém východě.‘ Babiš vyzval čerpací stanice, aby snížily ceny paliv",iROZHLAS,0
ŽIVĚ: Hokejisté Plzně v boji o semifinále vedou nad Spartou 1:0. Radiožurnál Sport vysílá přímý přenos,iROZHLAS,0
"Rusko zakázalo film Pan Nikdo proti Putinovi. ‚Je to pro nás největší ocenění,‘ míní čeští producenti",iROZHLAS,0
Zastupitelé v Plzni schválili stavbu tramvajové trati na Vinice. Bude mít čtyři nové zastávky,iROZHLAS,0
Stromy z části lesoparku Bohemia musí pryč. Vyroste tam heliport pro chystaný urgentní příjem v Sokolově,iROZHLAS,0
Chaos z íránské války zmírní jaro,iROZHLAS,0
"Svého oblíbence může na Památku roku nominovat každý. Důležitý je i příběh za opravou, říká ředitel",iROZHLAS,0
"V akademii nám roste plno úspěšných závodníků. Dejte nám čas, říká trenér krasobruslařů Verner",iROZHLAS,0
‚Chci si udržet dobrou pověst.‘ Primátor Karviné odmítá obvinění ve fotbalové korupční pauze,iROZHLAS,0
"Epidemiolog Smejkal: Očkovací strategie má smysl. Víme, jak to dopadá, když se lidé rozhodují podle sebe",iROZHLAS,0
"Studie, projektová dokumentace i realizace pod dva miliony. Otočnou lávku v Bílině navrhli studenti ČVUT",iROZHLAS,0
"Z 23 procent na osm. Polsko snižuje DPH na pohonné hmoty, zavádí i maximální ceny",iROZHLAS,0
Zákaz startu pro transgender sportovkyně. Ženy musí pro účast na olympiádě podstoupit test pohlaví,iROZHLAS,0
Hanácké vdolky ve stínu valašských frgálů. Kroměříž plánuje oživit zapomenutou tradici,iROZHLAS,0
V Českých Budějovicích začíná jarmarková sezona. Akce na Velikonoce chystají po celém kraji,iROZHLAS,0
Babiš řídí Popelku jako firmu. A není to hezký pohled,Novinky,0
Okamžitě snižte tyhle nehorázné ceny. Babiš se opřel do velkých provozovatelů čerpacích stanic,Novinky,0
Plagův náměstek spojil Mináře a Halíka s terorismem v Pardubicích. Případ řeší kriminálka,Novinky,0
Rodiče ve Francii odjeli rychlíkem a tříletou dceru zapomněli na nástupišti,Novinky,0
"V rodišti kněze Václava Drboly, kterého zavraždili komunisté, vyzvedli jeho ostatky",Novinky,0
RECENZE: Nevděčné bytosti zkoumají hranice rodičovské lásky,Novinky,0
Horské ekosystémy se kvůli oteplování mění pětkrát rychleji než lesy a louky,Novinky,0
"Po chodníku se nejezdí, napomenul senior v Brně cyklistu. Skončil s těžkým zraněním v nemocnici",Novinky,0
Tajně přesouvá majetek do Dubaje. Syn exguvernéra Maďarské národní banky posílá luxusní vozy po moři,Novinky,0
Po životě plném utrpení podstoupí mladá Španělka eutanázii. Zemře v pět odpoledne,Novinky,0
Advokáti amerického úřadu pro imigraci se oháněli povolením pro zadržení tisíců lidí. Žádné však neexistuje,Novinky,0
Karvinský primátor Wolf se po dvou dnech ozval,Novinky,0
Číňan pašoval z Keni přes dva tisíce mravenčích královen,Novinky,0
"Takový byl David Stypka: Emocemi nabitá předpremiéra filmu Neboj, dýchej, čaruj",Novinky,0
"Nacismus spustil všechny katastrofy. Bernd Posselt přijel do Brna, které v květnu hostí sudetoněmecký sjezd",Novinky,0
"Trump: Nechci říkat „válka“, abych nemusel žádat Kongres o souhlas",Novinky,0
"Chytrá holka, jak mohla tak zblbnout? diví se sousedé dívky obviněné z terorismu. Rodiče jsou zdrcení",Novinky,0
"Dozimetr: Nic nestandardního se v DPP nedělo, řekl soudu jeho exředitel",Novinky,0
"Německo chystá pomoc chemickému průmyslu, chce zlevnit elektřinu",Novinky,0
OpenAI dala erotický chatbot k ledu. Přednost dostaly hlavní produkty,Novinky,0
Eskorta ke zlínskému soudu přivedla bývalého rozhodčího Býmu a dvojici v kapucích,Novinky,0
Aljaška zažívá jednu z nejchladnějších zim historie,Novinky,0
"Mimořádně vulgárně se navezl do Evropy. Trumpův zmocněnec si notoval s Lukašenkem, vodku uléval na zem",Novinky,0
"Chovatel šelem k pelhřimovskému soudu nepřišel, jeho partnerka vinu odmítá. Úřady jim zabavily sto zvířat",Novinky,0
Obvinění z terorismu v Pardubicích nechali internetovou stopu,Novinky,0
Muž z Lovosicka se vydával za svého zesnulého otce a čerpal jeho důchod,Novinky,0
"V pražském divadle Komedie vzplála opona. Přes 400 evakuovaných, většinou dětí",Novinky,0
"Na letišti v USA lidé čekají hodiny, kontroly ochromil výpadek personálu",Novinky,0
Který příběh se dostane na velké plátno? Karlovarský festival pomůže filmovým adaptacím knih,Novinky,0
Polsko výrazně sníží daň na pohonné hmoty,Novinky,0
Macinka v Africe prolomil diplomatické tabu,SeznamZpravy,0
Invaze na íránský strategický ostrov je na spadnutí. Trump potřebuje karty,SeznamZpravy,0
"Poláci ukázali Evropě, jak se snižují ceny benzinu a nafty",SeznamZpravy,0
"Evropa v „trapné situaci“. Státům vadí slib, který dal šéf NATO Trumpovi",SeznamZpravy,0
Minuty slávy Tomia Okamury škodí vládě,SeznamZpravy,0
Tesle v Německu spadly prodeje. Zachraňují ji leda voliči AfD,SeznamZpravy,0
"Pentagon zvažuje, že přesměruje vojenskou pomoc pro Ukrajinu na Blízký východ",SeznamZpravy,0
"Trump řekl, že si není jistý, zda jsou USA ochotny uzavřít s Íránem dohodu",SeznamZpravy,0
